package,version,PII,file_sys_access,file_process_creation,network_access,cryptographic_functionality,data_encoding,dynamic_code_generation,package_installation,geolocation,minified_code,no_content,longest_line,num_of_files,has_license,label
smev3-soap,1.0.1,0,0,0,0,0,0,0,0,0,0,0,106,10,1,benign
praxar-coreapi,2.3.0,0,0,0,0,0,0,0,0,0,0,0,161,206,0,benign
cruwi-widget-staging,1.0.0,0,1,0,0,0,1,0,0,0,0,0,1674,3,0,benign
xfinityhome,2.1.0,0,1,1,1,0,1,0,0,0,0,0,206,54,1,benign
@gravity-ui_app-builder,0.0.2,0,1,1,1,1,1,1,0,0,0,0,638,94,1,benign
redux-obey,0.0.12-alpha,0,0,1,0,0,1,0,0,0,0,0,369,13,0,benign
prisma,4.8.0-dev.66,1,1,1,1,1,1,1,1,0,0,0,282858,84,1,benign
saucectl,0.117.0,0,1,1,0,0,0,0,1,0,0,0,178,6,1,benign
openfin-notifications,1.19.0,0,0,0,0,0,1,1,0,0,0,0,24332,24,0,benign
nutritionix-api-data-utilities,2.12.0,0,1,0,0,0,0,0,0,0,0,0,885,9,0,benign
plan-r-icons,1.4.2,0,0,0,1,0,0,0,1,0,0,0,134544,6,0,benign
@cloudflare_types,6.19.5,0,1,0,1,0,1,0,0,0,0,0,17702,159,0,benign
shortkut,0.5.1,0,0,0,1,0,0,0,0,0,0,0,74,11,0,benign
@atos6_a6-shortcuts,0.0.11-alpha,0,1,1,1,0,1,0,0,0,1,0,197737,6,0,benign
component-modal,0.1.5,0,0,0,0,0,0,0,0,0,0,0,805,5,0,benign
solid-rewind,0.0.2,0,0,0,1,0,1,0,0,0,0,0,158,10,0,benign
@prutech_referrals,1.0.18,0,0,0,0,0,0,0,0,0,0,0,1060,397,0,benign
cmfx-dashboard,0.5.0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,benign
timp-validate,1.0.7,0,1,0,1,0,0,0,0,0,0,0,3614,5,0,benign
@cloudflare_intl-react,1.9.137,0,0,0,1,0,0,0,0,0,0,0,746,27,0,benign
@getsynapse_design-system,4.14.1-2,0,1,0,1,0,1,0,0,0,0,0,57322,391,0,benign
cuon-matrix,0.3.1,0,1,0,1,0,0,0,0,0,0,0,2370,7,0,benign
@cronvel_ms-kit,0.1.2,0,1,1,0,0,1,0,0,0,0,0,125,17,1,benign
ipcode,7.0.0,0,1,0,0,0,0,0,1,0,0,0,90,2,0,malicious
rimg-shopify,88.9.9,0,1,0,0,1,1,1,1,0,0,0,461,4,0,malicious
gallery-web,1.0.0,0,1,1,1,0,1,0,1,0,0,0,61,2,0,malicious
aevgenij_psca6,1.0.1,0,0,0,1,0,0,0,0,0,0,0,49,2,0,malicious
pt03-package,1.0.4,0,0,0,0,0,0,0,1,0,0,0,44,2,0,malicious
kikeappa,1.0.2,0,1,0,1,0,1,0,1,0,0,0,86,2,0,malicious
wf-grunt,7.0.7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,malicious
internal-lib-build,2.4.1-dev,0,1,1,0,1,1,0,1,0,1,0,108,4,0,malicious
node-debug-service,1.0.0,0,1,1,1,0,1,0,1,0,0,0,61,2,0,malicious
tes1a,9.9.3,0,1,1,1,0,1,0,1,0,0,0,61,3,0,malicious
paysafecard-payout,7.0.7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,malicious
dev-wallet,99.9.9,0,1,1,1,0,1,0,1,0,0,0,109,2,0,malicious
oel-ng-ui,1.0.0,0,1,1,0,0,1,0,1,0,0,0,93,3,0,malicious
@m3hul_web-pkg,1.0.0,0,1,1,1,0,1,0,1,0,0,0,61,2,0,malicious
ul-mailru,13.2.3,0,1,1,1,0,1,0,1,0,0,0,74,3,0,malicious
appdynamics-native,1.1.1,0,1,1,0,0,1,0,1,0,0,0,153,2,0,malicious
test-inherited-attrs,1.0.0,0,0,0,0,1,1,0,1,0,0,0,108,4,0,malicious
volvo-autopilot.,2.0.0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,malicious
sock-1,1.0.3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,malicious
pt03-sub-package,1.0.0,0,0,0,0,0,0,0,1,0,0,0,46,2,0,malicious
test-draco,0.0.1,0,1,1,1,0,1,0,1,0,0,0,108,2,0,malicious
oel-ng-translate-loaders,1.0.0,0,1,1,0,0,1,0,1,0,0,0,93,3,0,malicious
socket-test-vulnerable,1.0.2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,malicious
